Geographic Area Name,Year,Auto,Annual Excess Fuel Consumed,Annual Hours of Delay,Travel Time Index,Freeway,Truck-based Statistics,Arterial Street,msa
"Mission, Viejo-Lake",2014.0,340,7619,22898,1.2,,1281,,
"Missoula, MT",2014.0,47,928,2126,1.13,,70,,
"Mobile, AL",2014.0,190,4410,9782,1.1,,368,,
"Modesto, CA",2014.0,205,4498,11093,1.21,,547,,
"Monessen-California, PA",2014.0,35,379,912,1.04,,48,,
"Monroe, LA",2014.0,66,1013,2257,1.09,,166,,
"Monroe, MI",2014.0,33,336,785,1.04,,39,,
"Montgomery, AL",2014.0,157,3009,6752,1.08,,272,,
"Morgantown, WV",2014.0,42,416,813,1.04,,77,,
"Morristown, TN",2014.0,33,502,1141,1.08,,38,,
"Mount, Vernon",2014.0,34,605,1438,1.09,,75,,
"Muncie, IN",2014.0,50,495,1093,1.06,,74,,
"Murrieta-Temecula-Menifee, CA",2014.0,278,4747,12545,1.2,,580,,
"Muskegon, MI",2014.0,86,776,1866,1.05,,83,,
"Myrtle, Beach-Socastee",2014.0,136,3398,7547,1.12,,412,,
"Nampa, ID",2014.0,88,1015,2486,1.09,,83,,
"Napa, CA",2014.0,48,1742,4274,1.21,,164,,
"Nashua, NH-MA",2014.0,130,2116,5322,1.1,,253,,
"New, Bedford",2014.0,84,1440,3389,1.07,,145,,
"Newark, OH",2014.0,43,1296,2849,1.15,,102,,
"North, Port-Port",2014.0,101,1368,2871,1.07,,110,,
"Norwich-New, London",2014.0,120,1611,4018,1.06,,241,,
"Ocala, FL",2014.0,95,1774,3819,1.09,,195,,
"Odessa, TX",2014.0,77,1677,3580,1.09,,265,,
"Ogden-Layton, UT",2014.0,322,3924,7808,1.08,,1096,,
"Olympia-Lacey, WA",2014.0,101,2073,5274,1.12,,225,,
"Oshkosh, WI",2014.0,43,454,977,1.05,,45,,
"Owensboro, KY",2014.0,42,609,1218,1.04,,100,,
"Palm, Bay-Melbourne",2014.0,260,5198,10287,1.09,,557,,
"Panama, City",2014.0,84,2141,4506,1.15,,167,,
"Parkersburg, WV-OH",2014.0,37,300,640,1.04,,43,,
"Pascagoula, MS",2014.0,28,322,832,1.06,,30,,
"Peoria, IL",2014.0,151,1457,3602,1.06,,142,,
"Petaluma, CA",2014.0,37,1326,3187,1.2,,152,,
"Pine, Bluff",2014.0,30,359,826,1.05,,31,,
"Pittsfield, MA",2014.0,31,495,1158,1.08,,39,,
"Pocatello, ID",2014.0,39,449,965,1.06,,31,,
"Ponce, PR",2014.0,80,1220,2748,1.2,,146,,
"Port, Huron",2014.0,49,697,1557,1.08,,134,,
"Port, St.",2014.0,224,4190,8464,1.09,,397,,
"Porterville, CA",2014.0,39,204,489,1.07,,19,,
"Portland, ME",2014.0,121,2416,5755,1.11,,258,,
"Portsmouth, NH-ME",2014.0,64,1216,3165,1.08,,167,,
"Pottstown, PA",2014.0,63,714,1622,1.07,,74,,
"Prescott, Valley-Prescott",2014.0,49,809,1871,1.09,,101,,
"Pueblo, CO",2014.0,80,1073,2996,1.1,,114,,
"Racine, WI",2014.0,76,1443,2911,1.12,,300,,
"Rapid, City",2014.0,49,817,1881,1.06,,81,,
"Reading, PA",2014.0,152,2501,5478,1.08,,293,,
"Redding, CA",2014.0,67,1327,3068,1.09,,153,,
"Reno, NV-CA",2014.0,231,4311,10557,1.13,,448,,
"Roanoke, VA",2014.0,118,2474,5622,1.1,,178,,
"Rochester, MN",2014.0,62,853,2228,1.1,,76,,
"Rock, Hill",2014.0,62,1214,2650,1.13,,140,,
"Rockford, IL",2014.0,167,2690,5722,1.08,,243,,
"Rocky, Mount",2014.0,37,523,1209,1.05,,41,,
"Rome, GA",2014.0,34,1099,2653,1.11,,95,,
"Round, Lake",2014.0,161,152,369,1.08,,30,,
"Saginaw, MI",2014.0,72,1024,2267,1.06,,100,,
"Salinas, CA",2014.0,105,2207,5325,1.15,,240,,
"Salisbury, MD-DE",2014.0,56,832,1951,1.09,,84,,
"San, Angelo",2014.0,54,1129,2349,1.1,,135,,
"San, German-Cabo",2014.0,67,575,1234,1.13,,55,,
"San, Luis",2014.0,34,702,1643,1.13,,80,,
"Santa, Barbara",2014.0,114,3621,9892,1.22,,635,,
"Santa, Clarita",2014.0,145,2272,6959,1.17,,293,,
"Santa, Cruz",2014.0,95,4209,10314,1.22,,560,,
"Santa, Fe",2014.0,51,1250,2678,1.1,,85,,
"Santa, Maria",2014.0,78,973,2134,1.12,,138,,
"Santa, Rosa",2014.0,174,6343,18394,1.22,,703,,
"Saratoga, Springs",2014.0,37,699,1853,1.05,,87,,
"Savannah, GA",2014.0,159,4287,9678,1.11,,470,,
"Scranton, PA",2014.0,214,3117,7653,1.06,,291,,
"Seaside-Monterey, CA",2014.0,64,2176,5861,1.2,,331,,
"Sheboygan, WI",2014.0,38,360,756,1.05,,29,,
"Sherman, TX",2014.0,38,546,1295,1.05,,58,,
"Shreveport, LA",2014.0,180,4370,8675,1.09,,942,,
"Sierra, Vista",2014.0,29,283,627,1.1,,35,,
"Simi, Valley",2014.0,72,777,2568,1.11,,87,,
"Sioux, City",2014.0,60,614,1538,1.06,,90,,
"Sioux, Falls",2014.0,95,1364,3128,1.05,,100,,
"Slidell, LA",2014.0,51,737,1483,1.05,,0,,
"South, Bend",2014.0,160,1675,3758,1.07,,263,,
"South, Lyon-Howell",2014.0,68,704,2068,1.05,,89,,
"Spartanburg, SC",2014.0,107,2046,5059,1.09,,212,,
"Springfield, IL",2014.0,91,1130,2481,1.06,,138,,
"Springfield, MO",2014.0,162,3620,10262,1.16,,475,,
"Springfield, OH",2014.0,47,384,868,1.04,,30,,
"St., Augustine",2014.0,43,929,2145,1.12,,70,,
