msa osm,msa (old),auto_commuters,annual_excess_fuel_consumed_commuters,ahd,tti
"San Antonio-New Braunfels, TX","San, Antonio",989,25630,65239,1.24
"San Diego-Chula Vista-Carlsbad, CA","San, Diego",1398,30738,132336,1.34
"San Francisco-Oakland-Berkeley, CA","San, Francisco-Oakland",1264,87793,240496,1.48
"San Jose-Sunnyvale-Santa Clara, CA","San, Jose",1013,39679,110710,1.41
"San Luis Obispo-Paso Robles, CA","San, Luis",34,702,1643,1.13
"Santa Cruz-Watsonville, CA","Santa, Cruz",95,4209,10314,1.22
"Santa Fe, NM","Santa, Fe",51,1250,2678,1.1
"Santa Rosa-Petaluma, CA","Santa, Rosa",174,6343,18394,1.22
"Savannah, GA","Savannah, GA",159,4287,9678,1.11
"Scranton--Wilkes-Barre, PA","Scranton, PA",214,3117,7653,1.06
"Seattle-Tacoma-Bellevue, WA","Seattle, WA",1501,62050,159201,1.38
"Sheboygan, WI","Sheboygan, WI",38,360,756,1.05
"Sherman-Denison, TX","Sherman, TX",38,546,1295,1.05
"Sierra Vista-Douglas, AZ","Sierra, Vista",29,283,627,1.1
"Sioux City, IA-NE-SD","Sioux, City",60,614,1538,1.06
"Sioux Falls, SD","Sioux, Falls",95,1364,3128,1.05
"South Bend-Mishawaka, IN-MI","South, Bend",160,1675,3758,1.07
"Spartanburg, SC","Spartanburg, SC",107,2046,5059,1.09
"Spokane-Spokane Valley, WA","Spokane, WA",197,5241,9800,1.16
"Springfield, IL","Springfield, IL",91,1130,2481,1.06
"Springfield, MA","Springfield, MA-CT",310,6332,14199,1.13
"Springfield, MO","Springfield, MO",162,3620,10262,1.16
"Springfield, OH","Springfield, OH",47,384,868,1.04
"St. Cloud, MN","St., Cloud",63,885,1995,1.08
"St. George, UT","St., George",58,679,1130,1.04
"St. Joseph, MO-KS","St., Joseph",46,603,1275,1.07
"St. Louis, MO-IL","St., Louis",1120,28421,68106,1.15
"State College, PA","State, College",48,526,1212,1.06
"Stockton, CA","Stockton, CA",193,2959,8218,1.15
"Sumter, SC","Sumter, SC",41,603,1406,1.1
"Syracuse, NY","Syracuse, NY",238,3013,7762,1.06
"Tallahassee, FL","Tallahassee, FL",139,3342,7163,1.14
"Tampa-St. Petersburg-Clearwater, FL","Tampa-St., Petersburg",1270,31330,80817,1.22
"Terre Haute, IN","Terre, Haute",53,752,1657,1.06
"Texarkana, TX-AR","Texarkana, TX-AR",46,947,2046,1.06
"Toledo, OH","Toledo, OH-MI",270,4096,10570,1.14
"Topeka, KS","Topeka, KS",83,1405,3308,1.08
"Trenton-Princeton, NJ","Trenton, NJ",168,3225,8353,1.1
"Tucson, AZ","Tucson, AZ",426,13418,30124,1.2
"Tulsa, OK","Tulsa, OK",402,9675,23270,1.15
"Tuscaloosa, AL","Tuscaloosa, AL",83,2034,4765,1.11
"Twin Falls, ID","Twin, Rivers-Highstown",37,723,1819,1.11
"Tyler, TX","Tyler, TX",83,2792,5117,1.17
"Utica-Rome, NY","Utica, NY",67,864,2107,1.04
"Valdosta, GA","Valdosta, GA",45,856,1797,1.06
"Vallejo, CA","Vallejo, CA",99,3003,7934,1.22
"Victoria, TX","Victoria, TX",38,945,1880,1.1
"Vineland-Bridgeton, NJ","Vineland, NJ",53,584,1467,1.06
"Virginia Beach-Norfolk-Newport News, VA-NC","Virginia, Beach",742,14489,39001,1.17
"Visalia, CA","Visalia, CA",128,1873,4122,1.1
"Waco, TX","Waco, TX",99,1625,3309,1.06
"Walla Walla, WA","Walla, Walla-WA-OR",32,285,587,1.06
"Warner Robins, GA","Warner, Robins",79,1023,2495,1.06
"Waterloo-Cedar Falls, IA","Waterloo, IA",64,480,1297,1.04
"Wausau-Weston, WI","Wausau, WI",43,500,1132,1.04
"Weirton-Steubenville, WV-OH","Weirton-Steubenville, WV-OH-PA",40,588,1222,1.04
"Wenatchee, WA","Wenatchee, WA",40,755,1944,1.16
"Wheeling, WV-OH","Wheeling, WV-OH",56,1065,2266,1.04
"Wichita Falls, TX","Wichita, Falls",57,718,1596,1.06
"Wichita, KS","Wichita, KS",282,4172,10244,1.14
"Williamsport, PA","Williamsport, PA",33,457,1075,1.05
"Wilmington, NC","Wilmington, NC",129,2697,6346,1.12
"Winchester, VA-WV","Winchester, VA",40,1133,2598,1.11
"Winston-Salem, NC","Winston-Salem, NC",214,2546,6956,1.11
"Worcester, MA-CT","Worcester, MA-CT",245,5122,11729,1.14
"Yakima, WA","Yakima, WA",76,1180,2522,1.09
"York-Hanover, PA","Yauco, PR",49,227,594,1.12
"Youngstown-Warren-Boardman, OH-PA","Youngstown, OH-PA",217,3121,7185,1.05
"Yuba City, CA","Yuba, City",66,1081,2490,1.16
"Yuma, AZ","Yuma, AZ-CA",77,1249,2661,1.09
