msa,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion,node_density_km,intersection_density_km,edge_density_km,street_density_km,builing_area_sqkm,area_sqkm
"Eau Claire, WI",11281,29158,5.169399876,12205034.13,418.582692,2.798244836,8991,6422259.366,15721,408.5146852,1.055309617,0.006297309,2.583438416,2.059010265,2795.049557,1470.748299,4.936017033,4366.661086
"El Centro, CA",8682,24590,5.664593412,10563912.63,429.6019777,2.934922829,7203,5633911.168,12728,442.6391552,1.039543739,0.001964173,0.747863197,0.620462867,909.9702233,485.302329,2.804135232,11609.07507
"El Paso, TX",36058,94407,5.236396916,27296013.38,289.1312443,2.90157524,30026,14781606.42,52297,282.6473109,1.066989171,0.001873912,2.495141926,2.077739516,1888.829868,1022.857782,15.66735876,14451.28216
"Elizabethtown-Fort Knox, KY",9789,23366,4.773929921,8848936.064,378.7099231,2.500255389,6822,4643347.918,12207,380.3840352,1.088867812,0.012124191,3.109947093,2.167336711,2811.290529,1475.182997,2.822658648,3147.641972
"Elkhart-Goshen, IN",8987,23967,5.333704239,6075715.036,253.5033603,2.766440414,7078,3150972.787,12389,254.3363296,1.048368062,0.007425942,7.427976355,5.850140941,5021.727787,2604.356443,14.39998908,1209.885381
"Elmira, NY",4060,10714,5.277832512,3643954.371,340.1114776,2.774137931,3262,1904628.656,5590,340.7206898,1.07694695,0.007692308,3.814104917,3.06443602,3423.257213,1789.274267,9.168683255,1064.469931
"Enid, OK",4996,14594,5.842273819,7038374.335,482.2786306,3.038430745,4200,3620384.008,7525,481.1141539,1.016451267,0.003056478,1.820527653,1.530467602,2564.762832,1319.257246,1.56293119,2744.259332
"Erie, PA",10375,28802,5.552192771,8667464.753,300.9327392,2.962409639,9018,4579331.559,15415,297.0698384,1.046121181,0.011222835,2.578015947,2.240823885,2153.721672,1137.888172,13.18090381,4024.412655
"Eugene-Springfield, OR",19981,48470,4.851609029,18086616.89,373.1507509,2.496671838,13768,9223722.686,24933,369.9403476,1.215594057,0.004572254,1.634995609,1.126601248,1479.982944,754.7543211,22.56585975,12220.82793
"Evansville, IN-KY",17940,46366,5.169007804,14054670.46,303.1244977,2.692586399,13613,7387666.107,24107,306.4531508,1.067265234,0.006180777,4.585646872,3.479621565,3592.517037,1888.362763,5.695687476,3912.207045
