msa_x,municipality,msa_y
"Poughkeepsie-Newburgh-Middletown, NY","['Dutchess County, NY', 'Orange County, NY']","Poughkeepsie-Newburgh-Middletown, NY"
"Odessa, TX","['Ector County, TX']","Odessa, TX"
"Rocky Mount, NC","['Edgecombe County, NC', 'Nash County, NC']","Rocky Mount, NC"
"Sacramento-Roseville-Folsom, CA","['El Dorado County, CA', 'Placer County, CA', 'Sacramento County, CA', 'Yolo County, CA']","Sacramento-Roseville-Folsom, CA"
"Colorado Springs, CO","['El Paso County, CO', 'Teller County, CO']","Colorado Springs, CO"
"El Paso, TX","['El Paso County, TX', 'Hudspeth County, TX']","El Paso, TX"
"Elkhart-Goshen, IN","['Elkhart County, IN']","Elkhart-Goshen, IN"
"Buffalo-Cheektowaga, NY","['Erie County, NY', 'Niagara County, NY']","Buffalo-Cheektowaga, NY"
"Erie, PA","['Erie County, PA']","Erie, PA"
"Pensacola-Ferry Pass-Brent, FL","['Escambia County, FL', 'Santa Rosa County, FL']","Pensacola-Ferry Pass-Brent, FL"
"Boston-Cambridge-Newton, MA-NH","['Essex County, MA', 'Middlesex County, MA', 'Norfolk County, MA', 'Plymouth County, MA', 'Suffolk County, MA', 'Rockingham County, NH', 'Strafford County, NH']","Boston-Cambridge-Newton, MA-NH"
"Gadsden, AL","['Etowah County, AL']","Gadsden, AL"
"Fairbanks, AK","['Fairbanks North Star Borough County, AK']","Fairbanks, AK"
"Bridgeport-Stamford-Norwalk, CT","['Fairfield County, CT']","Bridgeport-Stamford-Norwalk, CT"
"Waco, TX","['Falls County, TX', 'McLennan County, TX']","Waco, TX"
"Little Rock-North Little Rock-Conway, AR","['Faulkner County, AR', 'Grant County, AR', 'Lonoke County, AR', 'Perry County, AR', 'Pulaski County, AR', 'Saline County, AR']","Little Rock-North Little Rock-Conway, AR"
"Beckley, WV","['Fayette County, WV', 'Raleigh County, WV']","Beckley, WV"
"Deltona-Daytona Beach-Ormond Beach, FL","['Flagler County, FL', 'Volusia County, FL']","Deltona-Daytona Beach-Ormond Beach, FL"
"Rome, GA","['Floyd County, GA']","Rome, GA"
"Charlottesville, VA","['Fluvanna County, VA', 'Greene County, VA', 'Nelson County, VA', 'Albemarle County, VA', 'Charlottesville, VA']","Charlottesville, VA"
"Fond du Lac, WI","['Fond du Lac County, WI']","Fond du Lac, WI"
